Script Path,Class Name,Prefab or Scene Usage Count,Referenced By Prefabs or Scenes
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_DigitValidator.cs","TMP_DigitValidator",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_ExampleScript_01.cs","TMP_ExampleScript_01",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/22 - Basic Scripting Example.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_FrameRateCounter.cs","TMP_FrameRateCounter",3,"Assets/TextMesh Pro/Examples & Extras/Scenes/24 - Surface Shader Example URP.unity | Assets/TextMesh Pro/Examples & Extras/Scenes/24 - Surface Shader Example.unity | Assets/TextMesh Pro/Examples & Extras/Scenes/Benchmark (Floating Text).unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_PhoneNumberValidator.cs","TMP_PhoneNumberValidator",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_TextEventCheck.cs","TMP_TextEventCheck",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/12a - Text Interactions.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_TextEventHandler.cs","TMP_TextEventHandler",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/12a - Text Interactions.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_TextInfoDebugTool.cs","TMP_TextInfoDebugTool",3,"Assets/TextMesh Pro/Examples & Extras/Scenes/08 - Improved Text Alignment.unity | Assets/TextMesh Pro/Examples & Extras/Scenes/12 - Link Example.unity | Assets/TextMesh Pro/Examples & Extras/Scenes/12a - Text Interactions.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_TextSelector_A.cs","TMP_TextSelector_A",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_TextSelector_B.cs","TMP_TextSelector_B",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/12 - Link Example.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMP_UiFrameRateCounter.cs","TMP_UiFrameRateCounter",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/18 - ScrollRect & Masking & Layout.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/TMPro_InstructionOverlay.cs","TMPro_InstructionOverlay",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/VertexColorCycler.cs","VertexColorCycler",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/23 - Animating Vertex Attributes.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/VertexJitter.cs","VertexJitter",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/23 - Animating Vertex Attributes.unity"
"Assets/TextMesh Pro/Examples & Extras/Scripts/VertexShakeA.cs","VertexShakeA",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/VertexShakeB.cs","VertexShakeB",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/VertexZoom.cs","VertexZoom",0,""
"Assets/TextMesh Pro/Examples & Extras/Scripts/WarpTextExample.cs","WarpTextExample",1,"Assets/TextMesh Pro/Examples & Extras/Scenes/25 - Sunny Days Example.unity"
"Assets/TutorialInfo/Scripts/Editor/ReadmeEditor.cs","ReadmeEditor",0,""
"Assets/TutorialInfo/Scripts/Readme.cs","Readme",0,""
